Lat, Lon
8.118515, 93.557281
8.120962, 93.565573
8.121786, 93.569389
8.120916, 93.574677
8.115589, 93.577169
8.106907, 93.579824
NaN, NaN
8.189013, 93.535225
8.183035, 93.530407
8.176231, 93.525927
8.172831, 93.521002
8.171202, 93.517948
8.170412, 93.515799
8.169880, 93.513090
8.170977, 93.512550
8.172323, 93.512545
8.173391, 93.513371
8.177193, 93.515526
8.180151, 93.517138
8.182306, 93.520088
8.183928, 93.519836
8.184483, 93.518202
8.184494, 93.515791
8.183680, 93.514189
8.181791, 93.513092
8.179623, 93.513094
8.177729, 93.512821
8.175564, 93.512026
8.173954, 93.509871
8.171797, 93.507704
8.168436, 93.504307
8.163542, 93.501236
8.154373, 93.500082
8.149881, 93.499416
8.147070, 93.495605
8.146423, 93.492287
8.143764, 93.490126
8.140600, 93.493607
8.138065, 93.499245
8.135061, 93.502735
8.129044, 93.506710
8.124882, 93.508369
8.119612, 93.513477
8.111773, 93.516294
8.105602, 93.518614
8.099773, 93.521267
8.093601, 93.524237
8.091257, 93.527893
8.086405, 93.531212
8.084881, 93.535337
8.083042, 93.538317
8.077538, 93.540314
8.067377, 93.542305
8.064142, 93.541195
8.053177, 93.540035
8.049526, 93.540440
8.046793, 93.539740
8.045706, 93.538130
8.043287, 93.538393
8.042192, 93.538395
8.041117, 93.539219
8.039743, 93.540276
8.038668, 93.540825
8.035885, 93.541183
8.034201, 93.540375
8.033897, 93.537060
8.034883, 93.535898
8.039223, 93.534567
8.043386, 93.531590
8.044413, 93.526773
8.044432, 93.522785
8.040932, 93.520102
8.037941, 93.520359
8.035780, 93.519564
8.036880, 93.518225
8.036892, 93.515522
8.035530, 93.514454
8.033640, 93.513905
8.032850, 93.512026
8.031767, 93.509056
8.031509, 93.506104
8.030457, 93.501520
8.029093, 93.500727
8.022343, 93.500729
8.018805, 93.501520
8.016909, 93.502340
8.015007, 93.504221
8.012842, 93.503675
8.010963, 93.500456
8.008799, 93.500179
8.005293, 93.499344
8.004791, 93.499296
8.000975, 93.495987
7.999178, 93.490042
7.996849, 93.485073
8.000362, 93.484575
8.011349, 93.480755
8.026997, 93.479597
8.040474, 93.479441
8.040968, 93.481091
8.038633, 93.483566
8.036766, 93.487696
8.035770, 93.491190
8.035580, 93.493008
8.038084, 93.494171
8.038399, 93.495159
8.036228, 93.495985
8.034554, 93.498299
8.033882, 93.500450
8.034725, 93.500795
8.036890, 93.501106
8.042860, 93.502609
8.046188, 93.502604
8.050184, 93.501287
8.051365, 93.497637
8.053530, 93.498137
8.056026, 93.500795
8.060013, 93.501614
8.062994, 93.503262
8.062983, 93.505764
8.061655, 93.507078
8.056978, 93.506918
8.051327, 93.505924
8.048500, 93.505764
8.045843, 93.508238
8.044828, 93.510889
8.045820, 93.513210
8.048462, 93.513863
8.049463, 93.514708
8.048449, 93.517340
8.049532, 93.519836
8.051357, 93.519358
8.054190, 93.518177
8.058525, 93.518019
8.060341, 93.520329
8.060671, 93.522650
8.062330, 93.523651
8.063646, 93.525145
8.063299, 93.526459
8.065655, 93.524988
8.067987, 93.523830
8.067158, 93.520517
8.064684, 93.518173
8.064528, 93.516865
8.066179, 93.515202
8.068190, 93.514706
8.069685, 93.516359
8.073004, 93.519670
8.074465, 93.523987
8.076462, 93.525965
8.078951, 93.525307
8.078144, 93.521990
8.076344, 93.517200
8.076517, 93.514051
8.079180, 93.514885
8.081503, 93.515862
8.082832, 93.514549
8.080864, 93.511395
8.079023, 93.509729
8.081543, 93.507263
8.082216, 93.504444
8.081059, 93.503447
8.078545, 93.504448
8.076395, 93.505943
8.074738, 93.504288
8.070915, 93.501791
8.066446, 93.496319
8.062977, 93.492027
8.062315, 93.486872
8.060179, 93.484562
8.058022, 93.482586
8.057171, 93.484245
8.056000, 93.486223
8.051508, 93.485720
8.047018, 93.485228
8.045864, 93.482592
8.045376, 93.480091
8.050714, 93.479280
8.062029, 93.478937
8.068687, 93.479113
8.075169, 93.478115
8.078852, 93.476110
8.082659, 93.476772
8.085157, 93.479105
8.083622, 93.485893
8.081442, 93.488873
8.088945, 93.489685
8.096926, 93.490023
8.104242, 93.491343
8.109564, 93.489862
8.112396, 93.489208
8.108252, 93.487366
8.100779, 93.485392
8.094776, 93.486395
8.089626, 93.484398
8.090143, 93.480928
8.092323, 93.478268
8.092817, 93.474634
8.088673, 93.473139
8.089844, 93.471634
8.098354, 93.465345
8.109194, 93.459370
8.115479, 93.456871
8.116795, 93.458033
8.114454, 93.461349
8.115931, 93.463499
8.118593, 93.464821
8.121103, 93.464479
8.120111, 93.461159
8.117802, 93.457523
8.119802, 93.453556
8.127977, 93.451735
8.131809, 93.452049
